n_frame,x_px
0,0.106768962
1,0.03834544
2,0.049688613
3,0.079627218
4,0.072428382
5,0.072657931
6,-0.037614872
7,-0.045604844
8,0.022672034
9,0.037731511
10,-0.153649399
11,-0.310966292
12,-0.139785803
13,-0.139469968
14,0.093105035
15,0.056644002
16,-0.111426291
17,-0.130529674
18,-0.078252689
19,-0.043251956
20,-0.166287272
21,-0.210612748
22,-0.014758242
23,0.038280996
24,0.045531639
25,0.044219406
26,0.032011161
27,-0.078211839
28,0.065608989
29,0.081013651
30,0.139749456
31,0.093908464
32,0.043579749
33,0.011501637
34,0.068450392
35,0.103813563
36,0.152236394
37,0.110847264
38,0.082127257
39,0.170336222
40,0.144195112
41,0.143160584
42,0.110562427
43,0.092880224
44,0.021757561
45,0.0802324
46,0.0794931
47,0.070687799
48,-0.047057364
49,-0.012548147
50,-0.021052358
51,0.013605627
52,0.061127523
53,0.047437624
54,-0.231968997
55,-0.358716952
56,-0.273080567
57,-0.054529868
58,0.012396605
59,-0.06565342
60,0.007318408
61,-0.021119311
62,-0.014307577
63,0.001232047
64,-0.096257574
65,-0.221555942
66,0.010822368
67,-0.086672286
68,-0.056463044
69,0.059825751
70,0.02341868
71,-0.088655934
72,-0.033171587
73,0.049446909
74,-0.016680945
75,-0.010254599
76,-0.019725447
77,0.089675742
78,-0.012317009
79,-0.039175779
80,-0.004592852
81,-0.015773824
82,0.030939948
83,-0.010430708
84,-0.067707218
85,-0.029261297
86,-0.103068359
87,3.023577248
88,2.644785296
89,2.358325776
90,2.777603106
91,3.346191649
92,3.526730413
93,3.448495235
94,3.190251173
95,2.535077932
96,2.650781352
97,2.49561634
98,2.499124477
99,2.597646602
100,2.675577649
101,2.720241773
102,2.951839236
103,2.87514912
104,2.783492919
105,2.91823395
106,2.559957946
107,2.534736675
108,2.556761329
109,2.580897238
110,2.539922205
111,2.50727894
112,2.650464492
113,3.024152563
114,3.070036306
115,3.069086344
116,3.146765533
117,3.170067399
118,2.961143412
119,3.233940994
120,3.281153411
121,3.539589068
122,3.391925138
123,3.440371538
124,3.483671524
125,3.14539895
126,3.238346182
127,3.25158892
128,3.250679267
129,3.263241022
130,3.196427496
131,3.238723084
132,3.236163988
133,2.511298782
134,0.14966052
135,0.508984538
136,0.704820219
137,0.655438949
138,0.855357503
139,0.825119528
140,0.830455923
141,0.772410556
142,0.734028492
143,0.567836375
144,0.781118572
145,0.913892137
146,0.874971358
147,0.855567101
148,0.85343318
149,0.866602631
150,0.900112918
151,0.82110101
152,0.811197773
153,0.808577463
154,0.582388847
155,0.380174577
156,0.446027211
157,0.675591087
158,0.729666392
159,0.70694227
160,0.412278871
161,0.366299643
162,0.30329174
163,0.281799022
164,0.269481644
165,0.215536814
166,0.132015393
167,0.197717802
168,0.151514939
169,0.164753858
170,0.172188361
171,0.170745279
172,0.087498556
173,0.08314088
174,0.060268253
175,0.085848365
176,0.137061009
177,0.098366913
178,0.101976934
179,0.112342459
180,0.047253762
181,0.040750834
182,-0.049348038
183,-0.366468954
184,-0.20435966
185,-0.339730379
186,-0.441945326
187,-0.37626723
188,-0.230121067
189,-0.233421917
190,-0.26720635
191,-0.09401204
192,-0.447419571
193,-0.449001484
194,-0.44876766
195,-0.347222308
196,-0.522836615
197,-0.523232934
198,-0.107295909
199,-0.12891674
200,-0.301501317
201,-0.118261581
